pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim
2.80800000,0.00200000,-0.00200000,0,,,,,,,,
0.73654740,0.00000130,-0.00000140,0,1.875,0.029,-0.029,0,3.520000,0.010000,-0.010000,0
0.73654780,0.00000160,-0.00000120,0,,,,,,,,
0.73653900,0.00000700,-0.00000700,0,1.910,0.080,-0.080,0,,,,
2.79674000,0.00010000,-0.00010000,0,,,,,,,,
0.73654170,0.00000250,-0.00000280,0,,,,,3.523000,0.042000,-0.040000,0
,,,,,,,,,,,
0.73654450,0.00000140,-0.00000150,0,,,,,,,,
0.73654582,0.00000101,-0.00000101,0,1.915,0.214,-0.214,0,,,,
0.73654740,0.00000130,-0.00000130,0,1.947,0.038,-0.038,0,3.520000,0.010000,-0.010000,0
0.73654604,0.00000016,-0.00000016,0,,,,,,,,
0.73654600,0.00000300,-0.00000300,0,2.173,0.097,-0.098,0,,,,
0.73700000,,,0,1.897,0.044,-0.046,0,,,,
,,,,1.920,0.080,-0.080,0,,,,
0.73655150,0.00000150,-0.00000150,0,,,,,,,,
0.73654000,0.00000300,-0.00000300,0,2.000,0.140,-0.140,0,3.611400,0.057000,-0.055200,0
0.73654370,0.00000520,-0.00000520,0,2.080,0.160,-0.170,0,3.517000,0.041000,-0.040000,0
8.46321000,0.00004000,-0.00004000,0,4.203,0.202,-0.202,0,19.100000,1.800000,-1.600000,0
8.46300000,0.00000200,-0.00000200,0,4.070,0.170,-0.170,0,19.100000,0.300000,-0.300000,0
8.46300040,0.00000580,-0.00000600,0,4.190,0.240,-0.220,0,18.500000,1.300000,-1.400000,0
8.46314270,,,0,,,,,,,,
8.46321000,,,0,,,,,19.340000,0.450000,-0.590000,0
,,,,4.027,0.212,-0.212,0,,,,
8.46300000,0.00000200,-0.00000200,0,,,,,,,,
8.46321000,,,0,,,,,,,,
8.46299910,,,0,,,,,,,,
18.85882000,,,0,,,,,,,,
18.85899100,,,0,,,,,,,,
18.85901900,0.00000160,-0.00000160,0,,,,,,,,
18.85898200,0.00005300,-0.00005000,0,2.790,0.310,-0.300,0,31.700000,2.600000,-2.700000,0
18.85901900,0.00001600,-0.00001600,0,3.240,0.160,-0.160,0,29.000000,3.000000,-3.000000,0
41.68550000,0.00300000,-0.00300000,0,2.578,0.112,-0.112,0,55.800000,3.300000,-3.300000,0
41.68550000,0.00300000,-0.00310000,0,2.230,0.140,-0.110,0,55.800000,3.300000,-3.300000,0
41.68864400,0.00335300,-0.00341900,0,2.355,0.310,-0.167,0,54.721028,5.823183,-12.995528,0
1.50896350,0.00000890,-0.00000890,0,20.594,,,0,,,,
1.50896820,0.00000050,-0.00000050,0,19.223,0.336,-0.336,0,,,,
1.50896860,0.00000060,-0.00000060,0,17.385,0.729,-0.729,0,4.823900,0.047000,-0.046100,0
1.50895570,0.00000640,-0.00000640,0,16.700,0.900,-0.900,0,4.920000,0.080000,-0.080000,0
1.50896877,0.00000008,-0.00000008,0,,,,,,,,
1.50897655,0.00000010,-0.00000010,0,15.917,2.690,-2.690,0,,,,
1.50895570,,,0,16.589,0.673,-0.673,0,,,,
13.24060000,0.00020000,-0.00020000,0,10.548,0.953,-0.953,0,30.675000,2.328000,-2.022000,0
13.24060000,0.00020000,-0.00020000,0,10.873,0.785,-0.785,0,,,,
13.24060000,0.00020000,-0.00020000,0,10.870,0.780,-0.780,0,31.330000,2.150000,-2.150000,0
