pl_orbsmax,pl_masse
1.210000,
1.290000,
1.178000,
1.530000,
1.510000,
1.540000,
0.775000,
0.680000,
0.830000,
2.770000,
2.864000,
2.774000,2559.47216
2.930000,
2.800000,
2.830000,
2.820000,
2.730000,
1.676000,
1.681000,
1.600000,
1.680000,
1.680000,
1.660000,
1.450000,
2.600000,
2.476000,
2.540000,
330.000000,4000.00000
330.000000,3000.00000
330.000000,3000.00000
330.000000,2543.00000
0.194000,
0.190000,
1.333000,
2.080000,
118.000000,1271.31363
84.000000,4131.79000
,
52.000000,7786.50000
156.000000,4417.83700
15.000000,2383.60000
55.000000,1589.15000
46.000000,1271.00000
,
0.920000,603.87700
230.000000,3972.87500
0.995000,
1.010000,
0.990000,
0.877000,
0.870000,
1.190000,
2.100000,
2.100000,
2.110000,
2.110000,
2.059000,
3.600000,
7.730000,
3.404000,
11.600000,
13.800000,
14.000000,
12.000000,
13.200000,635.66000
0.052000,146.20180
0.052000,
,
0.052350,
0.052700,
0.113800,
0.115000,
0.110000,
0.113390,266.96600
0.115227,263.97850
0.113400,
0.113400,
0.115000,
0.115000,
0.113000,254.25000
0.116200,
0.115000,
0.243200,
0.240000,
0.238000,
0.237350,56.69850
0.237300,
0.240000,
0.241376,54.47380
0.237000,
5.540000,
5.770000,
5.900000,
5.840000,
5.280000,
5.503000,1232.49300
5.446000,1226.77000
5.257000,
5.957000,
5.470000,
0.015440,8.08000
,
0.015439,8.09479
0.015440,8.08000
0.037700,
,
0.015440,7.81000
,
0.038000,
,7.74000
,8.59000
0.015830,8.37000
0.015691,8.13928
0.015830,8.63000
,
0.015440,7.99000
0.015830,
0.788000,44.81200
0.773300,47.00510
0.775000,
0.770800,
0.781000,
0.792000,
0.770000,
2.200000,
2.180000,
2.028000,
2.110000,
0.049560,
0.050201,
0.215100,
0.217500,
0.476000,
1.930000,
1.900000,
1.758000,
2.153000,
0.456000,
0.480000,
0.476500,
0.481000,
0.484000,2380.45000
0.481000,
2.100000,
1.912000,
3.929000,
0.490000,
0.490000,
2.500000,
2.170000,
2.104000,
0.700000,
93.900000,2860.45566
260.000000,4290.50000
8.400000,1017.05090
9.300000,1366.66215
7.990000,1664.46737
,
,10.20000
,
0.064400,
0.064500,20.12000
,17.10000
0.066000,
0.064500,17.00000
,11.70000
0.110100,13.60000
0.110000,
0.110100,9.60000
,22.20000
,14.20000
1.300000,
0.780000,
0.777000,
0.576000,
0.539000,
1.450000,
1.050000,
2.010000,
1.300000,
,
0.241000,16.30000
,22.24810
0.830000,
1.000000,
1.700000,
4.200000,
0.780000,
1662.000000,4767.42610
2.060000,
2.115000,3305.41543
1.480000,
0.042800,
0.435000,
0.060000,
0.056000,
0.680000,
0.046000,
0.040000,
0.045200,
0.045000,
2.360000,
2.280000,
0.300000,
2.100000,
1.660000,
1.340000,
1.340000,
2.630000,
5.900000,1525.57635
5.900000,
0.018500,
2.600000,3337.10000
200.000000,2479.06157
210.000000,3994.48600
,3686.82800
7506.000000,2002.31896
440.000000,5403.00000
0.027520,390.93090
,
,
,327.35000
0.025360,327.36490
0.025900,340.07810
0.026100,359.14790
0.105500,867.67590
0.105500,874.00000
0.106000,883.56740
0.044070,832.71460
0.044000,743.72220
0.043510,791.39670
,
0.043600,740.51000
0.039400,281.91521
0.040160,291.43800
0.040130,290.81445
0.039200,277.46559
,
,
,
0.051000,416.99296
0.051000,415.70400
,
0.051070,423.03173
0.027000,2415.40000
0.026910,2358.29860
0.026870,2437.75610
0.061800,168.13207
0.061800,170.03200
0.046100,772.29000
0.048100,765.97030
0.048100,781.86180
0.029500,1099.69180
0.028800,1048.83900
0.028600,1039.30410
,
,
0.029500,1102.82000
,
0.051200,346.43470
,
0.051800,352.78000
0.051660,367.09365
,1052.01730
,
,
0.027980,1102.82000
0.028540,1150.54460
0.028100,1048.83900
,
,
0.028350,1134.65310
0.028100,1051.97300
,
,
0.090100,1344.42090
0.089100,1315.81620
0.090200,1347.54000
0.090000,1366.66900
0.089200,1608.21980
2.900000,
0.041600,705.58260
0.041700,718.29580
0.092000,12.20000
0.048090,972.55980
0.048400,982.09470
0.048000,889.90000
0.056000,5.70000
0.098000,28.00000
0.057890,93.12419
0.057800,85.81000
0.052500,184.34140
0.052600,165.26000
0.046700,3273.64900
0.047600,3302.11000
0.060300,153.82972
0.059000,152.87623
,
0.039000,266.97720
0.038600,270.15550
0.056940,6747.53090
,
0.057830,6979.54680
,6883.91000
0.057400,6814.27520
0.084400,921.70700
0.058600,266.97720
0.042900,349.61125
0.066000,216.12332
0.090000,228.83000
,
0.090250,223.43449
0.091200,232.33373
0.049630,151.92274
0.049470,148.42000
0.050040,149.38010
,
0.049500,145.88397
,
0.085500,940.77680
0.085400,937.59850
0.085500,940.74000
,
,4.07661
0.016900,6.99226
0.017016,5.74000
0.017000,4.80000
0.017000,4.73000
,4.60000
,6.05600
0.017200,21.00000
,13.28900
0.046000,8.40000
0.045000,13.56000
,17.14200
0.063390,69.28694
0.063000,69.92000
0.063300,68.65128
0.063600,69.28694
0.407000,266.97000
0.402900,268.88418
,
0.402700,262.52758
0.402100,266.97720
,
0.071000,47.67450
5.750000,
0.360000,9057.77000
330.000000,3496.00000
,3496.13000
0.146200,
0.073300,
0.042200,
0.065100,
0.066400,
0.066200,
0.066200,
0.048530,
8.600000,1995.88832
8.190000,
,
,413.17900
,
0.034900,
,
,
,
,
,
,
,
,
,
0.029600,
,
,
,
0.035000,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.131000,
,
,
0.119500,
,
0.149300,
,
,
,
,
,
0.148000,27.00000
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.098000,
0.280000,
,
,
,
,
,
0.013400,
0.013260,8.21000
,
,7.72000
,
,
,
0.011600,8.36000
0.013120,9.00000
,
0.108300,8.90000
,
0.107100,5.70000
,
0.105000,5.80000
0.109100,
,
,
,
,
0.123700,10.40000
,
,
,
0.072290,953.49000
4.500000,4131.79000
0.047000,8.75000
0.130000,14.67000
0.220000,10.18000
800.000000,5085.28000
0.022790,
0.052500,
,
0.038500,11.70000
,
0.045700,
0.073800,
0.021000,
0.035000,
0.054000,
,1.58000
0.015300,1.66000
,1.62000
0.015330,1.63000
,
0.047600,
0.166000,
0.163506,
0.168600,
0.930200,
0.912000,
0.571400,
,
,6.55000
,6.37000
,6.45000
,
,
,6.43000
,
0.014110,6.26125
,
,
,
,
,
0.014900,8.17000
,
0.009150,1.32000
,
,1.32000
0.009160,2.09000
,
0.026000,
0.191500,22.70000
,
0.193200,30.63000
0.072000,
0.073200,
0.071700,
5.400000,
0.053000,
0.060700,
0.125400,
1.030400,
2.523000,
2.424000,301.93699
2.410000,
0.092000,
0.103000,
0.129000,
0.309000,
0.034000,
16.761000,4069.15709
0.283000,
0.384000,
0.339000,
0.898000,
0.970000,
1.086000,
0.081800,
0.101000,
0.091101,
0.036467,
0.490000,
0.079000,
0.031650,3.34000
,
0.019700,
0.057000,
0.698000,
1.150000,794.50000
0.950000,
1.151000,
1.180000,
25.000000,
5.780000,
,
5.230000,
0.091000,
4.110000,
4.500000,
0.657000,
0.143390,
0.143400,
0.364000,
0.361750,
0.193940,
0.082080,
0.032820,
0.126400,
0.089000,
0.141000,
0.142000,
0.035500,13.90000
,
,
,12.58000
0.034800,14.00000
0.035570,13.90000
,
0.035960,14.10000
0.031000,13.73000
,
,
0.015890,1.86000
0.087600,
0.338000,
0.337000,
1.292000,
,
0.035000,1.84000
0.036000,
0.061000,
0.204000,
0.028700,8.40000
,
0.007100,0.54600
0.007090,0.63300
,
,
0.026000,
,
0.025200,1.75000
0.025690,1.21000
0.081000,
0.054020,
0.060800,
0.040500,
0.029000,
0.089000,
0.078790,
0.078500,
0.078900,
0.078920,
0.232400,
0.240300,
1.424000,
1.400000,
0.111000,
0.119000,
0.082000,
0.060000,
0.058000,
0.062000,
0.060000,
3.600000,
4.819000,
0.178000,
0.027800,
0.028490,
0.028700,
0.030800,25.40000
,
,
,25.40000
0.031090,23.13802
,
0.028720,23.10000
0.028870,23.42407
,21.67601
0.027800,
0.029000,23.20100
0.028720,23.16880
0.028500,
,
0.027800,
0.029100,22.10000
,
0.028000,
3.530000,1144.18227
3.530000,1080.61658
3.530000,
0.068000,
0.017340,2.82000
,
43.500000,1271.30000
0.422000,
0.067000,
0.066610,
0.040000,
0.040610,
0.041000,
0.041000,
0.040616,
0.040990,
0.074000,
0.070000,
0.072993,
0.072100,
0.073590,
0.028453,
0.030000,
0.028150,
0.029000,
0.078361,
1.112000,
1.135000,
1.132500,
0.049000,
0.050000,
0.050431,
0.050500,
0.125010,
0.125000,
0.123000,
0.125000,
0.213000,
0.156000,
0.549000,
0.039000,
1.820000,
1.800000,
1.735000,1840.86213
1.820000,
1.812000,2129.46100
9.726000,4288.14087
6.600000,
,
0.041300,
0.039000,
,
0.181000,
0.187000,
10.138000,7977.49302
0.080000,
0.176000,
0.134400,
0.170000,
0.163000,
0.163530,
0.165800,
1.165000,
0.119000,
0.046850,
0.029000,
3.530000,254.26273
3.460000,
3.560000,
3.400000,
3.700000,314.65012
2.409000,
2.350000,
2.350000,
2.320000,
2.320000,
,
2.390000,
4.950000,
,
4.974000,
0.113000,
0.114000,
0.110000,
0.208317,723.22350
0.217700,
0.211000,839.04000
0.214000,
0.218585,845.30000
0.207740,804.07600
0.208000,
0.210000,
0.135989,266.20000
0.130650,251.07500
0.136300,
0.129590,226.98460
0.130000,
0.132000,273.32000
0.134000,
,
0.021839,7.49000
0.020807,7.53000
0.021000,
0.021830,
0.021000,
0.020807,6.83000
0.334300,14.60000
0.345000,
0.351400,16.58000
0.068000,
0.120000,
0.639650,718.29220
0.880000,
0.870000,
0.094300,
0.291000,
0.113900,
12.319000,2988.54051
0.018800,4.91000
0.020000,
0.018880,3.42000
0.020600,3.69000
,
,4.89000
0.018800,5.14000
0.042900,1.45000
0.039250,0.84000
0.039250,1.30000
